date,deaths,confirmed,recovered,projectedDeaths,lethality,derivedConfirmed,derivedLethality,testCoverage,deaths_per1mio,confirmed_per1mio,recovered_per1mio,projectedDeaths_per1mio,derivedConfirmed_per1mio
2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0,9.0,8.0,0.0,0.0,33.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0
2020-02-21,0,9.0,8.0,0.0,0.0,67.0,0.0,0.134,0.0,0.0,0.0,0.0,1.0
2020-02-22,0,9.0,8.0,0.0,0.0,67.0,0.0,0.134,0.0,0.0,0.0,0.0,1.0
2020-02-23,0,9.0,8.0,0.0,0.0,100.0,0.0,0.09,0.0,0.0,0.0,0.0,2.0
2020-02-24,0,13.0,8.0,0.0,0.0,133.0,0.0,0.098,0.0,0.0,0.0,0.0,2.0
2020-02-25,0,13.0,8.0,0.0,0.0,200.0,0.0,0.065,0.0,0.0,0.0,0.0,3.0
2020-02-26,0,13.0,8.0,0.0,0.0,267.0,0.0,0.049,0.0,0.0,0.0,0.0,4.0
2020-02-27,0,15.0,8.0,0.0,0.0,267.0,0.0,0.056,0.0,0.0,0.0,0.0,4.0
2020-02-28,0,20.0,8.0,0.0,0.0,267.0,0.0,0.075,0.0,0.0,0.0,0.0,4.0
2020-02-29,0,23.0,8.0,0.0,0.0,700.0,0.0,0.033,0.0,0.0,0.0,0.0,11.0
2020-03-01,0,36.0,8.0,0.0,0.0,700.0,0.0,0.051,0.0,1.0,0.0,0.0,11.0
2020-03-02,0,40.0,8.0,0.0,0.0,1867.0,0.0,0.021,0.0,1.0,0.0,0.0,28.0
2020-03-03,0,51.0,8.0,0.0,0.0,1867.0,0.0,0.027,0.0,1.0,0.0,0.0,28.0
2020-03-04,0,86.0,8.0,0.0,0.0,2400.0,0.0,0.036,0.0,1.0,0.0,0.0,36.0
2020-03-05,1,116.0,8.0,0.0,0.009,4600.0,0.0,0.025,0.0,2.0,0.0,0.0,69.0
2020-03-06,2,164.0,8.0,0.0,0.012,5933.0,0.0,0.028,0.0,2.0,0.0,0.0,89.0
2020-03-07,2,207.0,18.0,0.0,0.01,7800.0,0.0,0.027,0.0,3.0,0.0,0.0,117.0
2020-03-08,3,274.0,18.0,0.0,0.011,9400.0,0.0,0.029,0.0,4.0,0.0,0.0,141.0
2020-03-09,4,322.0,18.0,0.0,0.012,11200.0,0.0,0.029,0.0,5.0,0.0,0.0,168.0
